HEAD	RELATION	TAIL
Open approach	access_of	Open removal foreign body from joint
Open approach	access_of	Open drainage of joint
Open approach	access_of	Open irrigation of joint
Percutaneous approach	access_of	Percutaneous spinal facet joint denervation
Percutaneous approach	access_of	Percutaneous insertion of fetal shunt
Percutaneous approach	access_of	Percutaneous insertion of ventriculoamniotic shunt
Percutaneous approach	access_of	Percutaneous insertion of pleuroamniotic shunt
Percutaneous approach	access_of	Percutaneous insertion of peritoneal-amniotic shunt
Percutaneous approach	access_of	Percutaneous insertion of vesicoamniotic shunt
Percutaneous approach	access_of	Percutaneous aspiration of fetal lesion
Percutaneous approach	access_of	Percutaneous aspiration of fetal ascites
Percutaneous approach	access_of	Percutaneous aspiration of fetal pleural effusion
Percutaneous approach	access_of	Percutaneous aspiration of fetal pericardial effusion
Percutaneous approach	access_of	Percutaneous biopsy of fetus
Open approach	access_of	Open fetal operation
Open approach	access_of	Open operation for fetal congenital diaphragmatic hernia
Open approach	access_of	Open operation for fetal urinary tract obstruction
Percutaneous approach	access_of	Laser cardiac valvotomy
Percutaneous approach	access_of	Percutaneous thromboendarterectomy
Percutaneous approach	access_of	Percutaneous embolectomy
Percutaneous approach	access_of	Percutaneous endovascular device procedure
Percutaneous approach	access_of	Percutaneous endovascular obliteration
Percutaneous approach	access_of	Percutaneous non-embolic vascular occlusion
Percutaneous approach	access_of	Percutaneous removal of endovascular foreign body
Percutaneous approach	access_of	Percutaneous imaging guided diagnostic aspiration
Percutaneous approach	access_of	Percutaneous imaging guided therapeutic drainage
Percutaneous approach	access_of	Percutaneous evacuation of wound seroma
Percutaneous approach	access_of	Percutaneous evacuation of wound abscess
Open approach	access_of	Open pancreatography via papilla of Vater
Percutaneous approach	access_of	Percutaneous hepatogram
Percutaneous approach	access_of	Percutaneous cyst puncture and cystogram
Percutaneous approach	access_of	Percutaneous cystography
Percutaneous approach	access_of	Percutaneous perfemoral pelvic venogram
Closed approach	access_of	Closed cardiac massage with ventilation
Percutaneous approach	access_of	Percutaneous dissolution therapy to calculus in gallbladder
Open approach	access_of	Operative abdominal venogram
Percutaneous approach	access_of	Percutaneous transluminal mapping of conducting system of heart
Percutaneous approach	access_of	Percutaneous transluminal electrophysiological studies on conducting system of heart
Percutaneous approach	access_of	Percutaneous fixation of bone
Percutaneous approach	access_of	Percutaneous fixation using Kirschner wire
Percutaneous approach	access_of	Percutaneous fixation using screw
Open approach	access_of	Internal fixation using Kirschner wire
Open approach	access_of	Internal fixation using tension band
Open approach	access_of	Internal fixation using internal fixator system
Open approach	access_of	Multiple Kirschner wiring of fracture
Open approach	access_of	Open - laryngectomy incision
Open approach	access_of	Open intracoronary repair of coronary artery fistula
Percutaneous approach	access_of	Percutaneous sperm aspiration
Percutaneous approach	access_of	Percutaneous endarterectomy of intracranial artery
Percutaneous approach	access_of	Percutaneous endarterectomy of subclavian artery
Percutaneous approach	access_of	Percutaneous endarterectomy of brachial artery
Percutaneous approach	access_of	Percutaneous endarterectomy of abdominal aorta
Percutaneous approach	access_of	Percutaneous endarterectomy of renal artery
Percutaneous approach	access_of	Percutaneous endarterectomy of hepatic artery
Percutaneous approach	access_of	Percutaneous endarterectomy of superior mesenteric artery
Percutaneous approach	access_of	Percutaneous endarterectomy of common iliac artery
Percutaneous approach	access_of	Percutaneous endarterectomy of internal iliac artery
Percutaneous approach	access_of	Percutaneous endarterectomy of external iliac artery
Percutaneous approach	access_of	Percutaneous endarterectomy of common femoral artery
Percutaneous approach	access_of	Percutaneous endarterectomy of superficial femoral artery
Percutaneous approach	access_of	Percutaneous endarterectomy of profunda femoris
Percutaneous approach	access_of	Percutaneous endarterectomy of popliteal artery
Percutaneous approach	access_of	Percutaneous endarterectomy of crural artery
Percutaneous approach	access_of	Percutaneous endarterectomy of internal carotid artery
Percutaneous approach	access_of	Percutaneous endarterectomy of external carotid artery
Percutaneous approach	access_of	Percutaneous endarterectomy of common carotid artery
Percutaneous approach	access_of	Percutaneous arterial embolectomy
Percutaneous approach	access_of	Percutaneous venous thrombectomy
Percutaneous approach	access_of	Percutaneous embolectomy of intracranial artery
Percutaneous approach	access_of	Percutaneous embolectomy of brachial artery
Percutaneous approach	access_of	Percutaneous embolectomy of pulmonary artery
Percutaneous approach	access_of	Percutaneous embolectomy of femoral artery
Percutaneous approach	access_of	Percutaneous embolectomy of popliteal artery
Percutaneous approach	access_of	Percutaneous thrombectomy of intracranial vein
Percutaneous approach	access_of	Percutaneous thrombectomy of iliofemoral vein zone
Percutaneous approach	access_of	Percutaneous embolectomy of arteriovenous fistula
Percutaneous approach	access_of	Percutaneous thrombolysis of vein
Percutaneous approach	access_of	Percutaneous arterial device procedure
Percutaneous approach	access_of	Percutaneous venous device procedure
Percutaneous approach	access_of	Percutaneous arteriovenous fistula device procedure
Percutaneous approach	access_of	Percutaneous fragmentation of bile duct stone
Percutaneous approach	access_of	Percutaneous computer tomography guided aspiration
Percutaneous approach	access_of	Percutaneous magnetic resonance guided aspiration
Percutaneous approach	access_of	CT guided percutaneous therapeutic drainage
Percutaneous approach	access_of	Percutaneous magnetic resonance guided therapeutic drainage
Percutaneous approach	access_of	Percutaneous removal of foreign body from artery
Percutaneous approach	access_of	Percutaneous removal of foreign body from vein
Percutaneous approach	access_of	Percutaneous removal of foreign body from intracranial artery
Percutaneous approach	access_of	Percutaneous removal of foreign body from coronary artery
Percutaneous approach	access_of	Percutaneous removal of foreign body from arterial graft
Percutaneous approach	access_of	Percutaneous removal of foreign body from pulmonary artery
Percutaneous approach	access_of	Percutaneous removal of foreign body from intracranial vein
Percutaneous approach	access_of	Percutaneous fetal procedure
Percutaneous approach	access_of	Permanent percutaneous nephrostomy
Percutaneous approach	access_of	Temporary percutaneous nephrostomy
Open approach	access_of	Open repair of acquired broncho-esophageal fistula
Open approach	access_of	Open cauterization of lesion of lung
Percutaneous approach	access_of	Percutaneous transluminal embolization of portal vein
Percutaneous approach	access_of	Percutaneous transluminal embolization of pulmonary artery
Open approach	access_of	Open embolization of pulmonary artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of popliteal artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of femoral artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of axillary artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of brachial artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of subclavian artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of circle of Willis
Percutaneous approach	access_of	Percutaneous transluminal embolization of cerebral artery
Open approach	access_of	Open embolization of circle of Willis
Open approach	access_of	Open embolization of cerebral artery
Open approach	access_of	Open embolization of renal artery
Percutaneous approach	access_of	Percutaneous transluminal embolization of vein
Open approach	access_of	Open extirpation of lesion of esophagus
Open approach	access_of	Open injection sclerotherapy to esophageal varices
Open approach	access_of	Open operations on esophageal varices
Open approach	access_of	Open biopsy of lesion of esophagus
Open approach	access_of	Open laser destruction of lesion of esophagus
Open approach	access_of	Open placement of prosthesis in esophagus
Open approach	access_of	Open revision of tubal prosthesis in esophagus
Open approach	access_of	Open removal of tubal prosthesis from esophagus
Open approach	access_of	Open cauterization of lesion of rectum
Open approach	access_of	Open hemorrhoidectomy
Closed approach	access_of	Closed hemorrhoidectomy
Open approach	access_of	Mobilization of intestine
Open approach	access_of	Open devascularization of liver
Open approach	access_of	Open excision of ureterocele
Open approach	access_of	Open hemostasis of prostate
Open approach	access_of	Open reversal of female sterilization
Open approach	access_of	Open cauterization of lesion of ovary
Percutaneous approach	access_of	Percutaneous evacuation of wound hematoma
Percutaneous approach	access_of	Percutaneous endarterectomy of celiac artery
